official_abbreviation,official_name,affected_staging_rows,observed_value,issue_message,expected_value,resolution_status
GAP,The Great Australian Party,140,GAP|The Great Australian Party,AEC party label is retained without a canonical Grand Database party match: The Great Australian Party,Canonical party ID or approved no-match,open
HMP,Legalise Cannabis Party,4357,HMP|Legalise Cannabis Party,AEC party label is retained without a canonical Grand Database party match: Legalise Cannabis Party,Canonical party ID or approved no-match,open
IAP,Indigenous - Aboriginal Party of Australia,742,IAP|Indigenous - Aboriginal Party of Australia,AEC party label is retained without a canonical Grand Database party match: Indigenous - Aboriginal Party of Australia,Canonical party ID or approved no-match,open
IMO,HEART Party,543,IMO|HEART Party,AEC party label is retained without a canonical Grand Database party match: HEART Party,Canonical party ID or approved no-match,open
JLN,Jacqui Lambie Network,299,JLN|Jacqui Lambie Network,AEC party label is retained without a canonical Grand Database party match: Jacqui Lambie Network,Canonical party ID or approved no-match,open
LTP,Libertarian,4790,LTP|Libertarian,AEC party label is retained without a canonical Grand Database party match: Libertarian,Canonical party ID or approved no-match,open
SAL,Socialist Alliance,756,SAL|Socialist Alliance,AEC party label is retained without a canonical Grand Database party match: Socialist Alliance,Canonical party ID or approved no-match,open
SOPA,FUSION ,0,SOPA|FUSION | Planet Rescue | Whistleblower Protection | Innovation,AEC party label is retained without a canonical Grand Database party match: FUSION | Planet Rescue | Whistleblower Protection | Innovation,Canonical party ID or approved no-match,open
SPP,Sustainable Australia Party - Universal Basic Income,481,SPP|Sustainable Australia Party - Universal Basic Income,AEC party label is retained without a canonical Grand Database party match: Sustainable Australia Party - Universal Basic Income,Canonical party ID or approved no-match,open
VNS,Victorian Socialists,438,VNS|Victorian Socialists,AEC party label is retained without a canonical Grand Database party match: Victorian Socialists,Canonical party ID or approved no-match,open
