table_schema,table_name,field_name,field_order,field_type,required,primary_key,foreign_key,linked_schema,linked_table,linked_field,value_set_name,definition,null_semantics,validation_rule,introduced_version,deprecated_version,active
audit,validation_run,started_at,6,TIMESTAMP WITH TIME ZONE,True,False,False,,,,,Field started_at in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,completed_at,7,TIMESTAMP WITH TIME ZONE,False,False,False,,,,,Field completed_at in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,rules_executed,8,INTEGER,True,False,False,,,,,Field rules_executed in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,blocker_count,9,INTEGER,True,False,False,,,,,Field blocker_count in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,warning_count,10,INTEGER,True,False,False,,,,,Field warning_count in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,validation_status,11,VARCHAR,True,False,False,,,,,Field validation_status in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_id,1,UUID,True,True,False,,,,,Field ballot_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_dataset_id,2,UUID,True,False,True,ballot,ballot_dataset,ballot_dataset_id,,Field ballot_dataset_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,anonymous_source_key,3,VARCHAR,False,False,False,,,,,Field anonymous_source_key in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,contest_id,4,VARCHAR,False,False,True,core,contest,contest_id,,Field contest_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_channel,5,VARCHAR,False,False,False,,,,,Field ballot_channel in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_type,6,VARCHAR,False,False,False,,,,,Field ballot_type in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,formality_status,7,VARCHAR,False,False,False,,,,,Field formality_status in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,above_the_line,8,BOOLEAN,False,False,False,,,,,Field above_the_line in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,preference_count,9,INTEGER,False,False,False,,,,,Field preference_count in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,source_row_locator,10,VARCHAR,True,False,False,,,,,Field source_row_locator in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,ballot_dataset_id,1,UUID,True,True,False,,,,,Field ballot_dataset_id in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,election_chamber_id,2,VARCHAR,True,False,True,core,election_chamber,election_chamber_id,,Field election_chamber_id in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,contest_id,3,VARCHAR,False,False,True,core,contest,contest_id,,Field contest_id in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,source_revision_id,4,VARCHAR,True,False,True,provenance,source_file_revision,source_revision_id,,Field source_revision_id in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,dataset_scope,5,VARCHAR,True,False,False,,,,,Field dataset_scope in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,ballot_channel,6,VARCHAR,False,False,False,,,,,Field ballot_channel in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,anonymisation_method,7,VARCHAR,False,False,False,,,,,Field anonymisation_method in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,privacy_notes,8,VARCHAR,False,False,False,,,,,Field privacy_notes in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,schema_version,9,VARCHAR,False,False,True,control,schema_version,schema_version,,Field schema_version in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,row_count,10,BIGINT,False,False,False,,,,,Field row_count in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_dataset,record_status,11,VARCHAR,True,False,False,,,,,Field record_status in ballot.ballot_dataset.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
