key,file,chamber,family,row_count,size_bytes,sha256,url,path
polling_places,GeneralPollingPlacesDownload-31496.csv,both,reporting_units,8940,1123563,34dd99a7779d97ec2552db7140bda0e201522b9eb08608b64e05f780ce7338d6,https://results.aec.gov.au/31496/Website/Downloads/GeneralPollingPlacesDownload-31496.csv,data/raw/aec/2025_federal/31496/final/GeneralPollingPlacesDownload-31496.csv
senate_candidates,SenateCandidatesDownload-31496.csv,senate,candidates,330,18228,6594918e9b53ac53e65482dde49422bd8e76c34b3d4fe283e88c75913547ec46,https://results.aec.gov.au/31496/Website/Downloads/SenateCandidatesDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateCandidatesDownload-31496.csv
senate_elected,SenateSenatorsElectedDownload-31496.csv,senate,outcomes,40,1969,e1c24bfd933feb8b23ea6e451d07e39f70f7af59a1cf991c0e1e1ced42071c01,https://results.aec.gov.au/31496/Website/Downloads/SenateSenatorsElectedDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateSenatorsElectedDownload-31496.csv
senate_fp_state_vote_type,SenateFirstPrefsByStateByVoteTypeDownload-31496.csv,senate,first_preferences,448,35481,f80100e04ac3f57783bd8d052f9bd6706f7deb3d9224ef4b6965045695f6583b,https://results.aec.gov.au/31496/Website/Downloads/SenateFirstPrefsByStateByVoteTypeDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateFirstPrefsByStateByVoteTypeDownload-31496.csv
senate_fp_division_vote_type,SenateFirstPrefsByDivisionByVoteTypeDownload-31496.csv,senate,first_preferences_division,10854,987489,7b770c8539ea802713f25b7586e8ee23ca436dd1e487886c2d724af03669e5fd,https://results.aec.gov.au/31496/Website/Downloads/SenateFirstPrefsByDivisionByVoteTypeDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateFirstPrefsByDivisionByVoteTypeDownload-31496.csv
senate_fp_group_vote_type,SenateFirstPrefsByGroupByVoteTypeDownload-31496.csv,senate,first_preferences_group,33,3663,1b527253ec43188f4d923349344ad3ed3dcb10e588f87daa888fe211c0c31ced,https://results.aec.gov.au/31496/Website/Downloads/SenateFirstPrefsByGroupByVoteTypeDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateFirstPrefsByGroupByVoteTypeDownload-31496.csv
senate_fp_state_group_vote_type,SenateFirstPrefsByStateByGroupByVoteTypeDownload-31496.csv,senate,first_preferences_group,123,12036,084c7f88e18f62db0b1a18099b081c7ae12680240435a5f4c9aa14e92b29efd5,https://results.aec.gov.au/31496/Website/Downloads/SenateFirstPrefsByStateByGroupByVoteTypeDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateFirstPrefsByStateByGroupByVoteTypeDownload-31496.csv
enrolment_state,GeneralEnrolmentByStateDownload-31496.csv,both,enrolment,8,856,5ad4631b7283944829185b41522fea98c8cf6c6ac540c8f21ee9e0b8d52dd60b,https://results.aec.gov.au/31496/Website/Downloads/GeneralEnrolmentByStateDownload-31496.csv,data/raw/aec/2025_federal/31496/final/GeneralEnrolmentByStateDownload-31496.csv
senate_informal_state,SenateInformalByStateDownload-31496.csv,senate,participation,8,754,f2f356b903cb1f7f03078162cdabf93244c03e099f49ff2a44c07a62f7cfb7c0,https://results.aec.gov.au/31496/Website/Downloads/SenateInformalByStateDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateInformalByStateDownload-31496.csv
senate_turnout_state,SenateTurnoutByStateDownload-31496.csv,senate,participation,8,684,a23862f197d2fa231ccad3745c9194d82c95f4e9650022687f99e66c4d6b312a,https://results.aec.gov.au/31496/Website/Downloads/SenateTurnoutByStateDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateTurnoutByStateDownload-31496.csv
senate_votes_state,SenateVotesCountedByStateDownload-31496.csv,senate,participation,8,948,8484018813173f027d2530cc7c1a7dcc3d54046d39abbe2621d69af511e48215,https://results.aec.gov.au/31496/Website/Downloads/SenateVotesCountedByStateDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateVotesCountedByStateDownload-31496.csv
senate_informal_division,SenateInformalByDivisionDownload-31496.csv,senate,participation_division,150,6379,ecb43bf26a451cf143880dfea9b28735aa0007a54d23aea80638e4dec2232ee7,https://results.aec.gov.au/31496/Website/Downloads/SenateInformalByDivisionDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateInformalByDivisionDownload-31496.csv
senate_turnout_division,SenateTurnoutByDivisionDownload-31496.csv,senate,participation_division,150,5784,d6649177a9c3a7c381954be7abd954dbd06a935887a32127ee7b3c92dab16100,https://results.aec.gov.au/31496/Website/Downloads/SenateTurnoutByDivisionDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateTurnoutByDivisionDownload-31496.csv
senate_votes_division,SenateVotesCountedByDivisionDownload-31496.csv,senate,participation_division,150,9729,145eaee14bac61487ad411d68830667b755d736ed6eaeaf4042d0387e14d2818,https://results.aec.gov.au/31496/Website/Downloads/SenateVotesCountedByDivisionDownload-31496.csv,data/raw/aec/2025_federal/31496/final/SenateVotesCountedByDivisionDownload-31496.csv
senate_distribution,SenateDopDownload-31496.zip,senate,distribution_of_preferences,67483,543243,a86b591b422218fd9b2f43f4adcf061007b731f0d740a614e1cfa3cf64392b1e,https://results.aec.gov.au/31496/Website/External/SenateDopDownload-31496.zip,data/raw/aec/2025_federal/31496/final/SenateDopDownload-31496.zip
senate_formal_preferences_nsw,aec-senate-formalpreferences-31496-NSW.zip,senate,formal_preferences,4986832,41830246,0ad82e3067c0eddfdfa7df9dfc82b370d217c393f48b8c323006f936324396b0,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-NSW.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-NSW.zip
senate_formal_preferences_vic,aec-senate-formalpreferences-31496-VIC.zip,senate,formal_preferences,4101762,34306757,71cfd2168dc8295dfd33a19e321c2fe2d96edfb229d16a002e30e9d23e67aeca,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-VIC.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-VIC.zip
senate_formal_preferences_qld,aec-senate-formalpreferences-31496-QLD.zip,senate,formal_preferences,3224436,28575574,0a25d5015b7dbfcb05e3140c8a890a96aa323e1fce6c34596a384d6d87471c90,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-QLD.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-QLD.zip
senate_formal_preferences_wa,aec-senate-formalpreferences-31496-WA.zip,senate,formal_preferences,1622016,13967111,c8ce58e7bedcb2c0e26308adf871cc7d3d9c4cbe986b5105e4f59472f0947846,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-WA.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-WA.zip
senate_formal_preferences_sa,aec-senate-formalpreferences-31496-SA.zip,senate,formal_preferences,1164072,10106248,f33526464953681e00cb99d1378dce5408db3962511d2f033952033d35983168,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-SA.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-SA.zip
senate_formal_preferences_tas,aec-senate-formalpreferences-31496-TAS.zip,senate,formal_preferences,371790,3717829,704b67fa2b754866086c6151694623069ce74364e3473aa1c2fd5fa812545523,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-TAS.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-TAS.zip
senate_formal_preferences_act,aec-senate-formalpreferences-31496-ACT.zip,senate,formal_preferences,293474,2013634,320b42fd26a45d8719efc9c54c5cc9f3d8b4370d95365b109fd2087beff1c28a,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-ACT.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-ACT.zip
senate_formal_preferences_nt,aec-senate-formalpreferences-31496-NT.zip,senate,formal_preferences,106807,783339,00526d34f8dd598c8453db2136de38117513b345ecadd982ce1ad1a60cc1d4fc,https://results.aec.gov.au/31496/Website/External/aec-senate-formalpreferences-31496-NT.zip,data/raw/aec/2025_federal/31496/final/aec-senate-formalpreferences-31496-NT.zip
